Business,L2 Category,L3 Category,Bet Category,Upgrade L1 Theme,Upgrade L2 Theme,Brand Name,SKU Name,Item Code,Exclusivity Type,"Validated for ""Upgrade"" Proposition",Include in Overall Tracking,Upgrade
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent Classic Triply Stainless Steel 1 Liter Outer Lid Pressure Cooker - Induction Bottom,323351,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Kadai with Soft-Touch Handle (2.6L, Non Toxic Non Stick, Glass Lid, ISI Certified, Coorg Green)",128126,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Meyer,Meyer Trivantage Stainless Steel Triply Cookware Open Frypan (24cm),418133,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Meyer,"Meyer Select Nickel Free Stainless Steel Frypan with Triply Base (24 cm, Gas and Induction Compatible)",342908,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Milk Pots,Cookware,Healthier Cooking,Triply,Meyer,Meyer Trivantage Stainless Steel Triply Cookware Milkpan (14cm),563909,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Kadai with Stainless Steel Handle (2.6L, Non Toxic Non Stick, Metallic Lid, ISI Certified, Terracotta)",593333,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent Classic Triply Stainless Steel 1.5 Liters Outer Lid Pressure Cooker - Induction Bottom,776116,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Stahl,"Stahl Triply Artisan Triply Stainless Steel Kadhai with Lid (2.4L, Silver)",146409,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent TriPly 24 cm (2.8 L) Kadai with Lid  - Induction Bottom,370055,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent Classic Triply 5.5L Outer Lid Pressure Cooker - Induction Bottom,772931,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Meyer,Meyer Presta Tri-ply Pressure Cooker (2L),759999,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Frying Pan,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent Triply Steel Frypan - Induction Bottom,712114,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Bergner,"Bergner Tripro TriPly Stainless Steel Frypan (20cm, 1L, Induction Bottom)",263240,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Cast Iron,Meyer,"Meyer Pre-Seasoned Cast Iron Flat Dosa Tawa (28cm, Black)",602944,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Cast Iron,Meyer,"Meyer Pre-Seasoned Cast Iron Roti/Chapati Tawa (26cm, Black)",374884,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Cast Iron,Meyer,Meyer Pre-Seasoned Cast Iron Frypan/Skillet (20cm),966184,Level 3: Complete SKU Exclusivity,Yes,Yes,True
